,month,year,region,id,count,title,rank,date,artist,url
2222,6,2017,Canada,6EpRaXYhGOB3fj4V2uDkMJ,26,Strip That Down,10,2017-06-04,"Liam Payne, Quavo",https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
2248,6,2017,United Kingdom,4iLqG9SeJSnt0cSPICSjxv,29,Attention,9,2017-06-01,Charlie Puth,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
2277,6,2017,United Kingdom,5CtI0qwDJkDQGwXD1H1cLb,29,Despacito - Remix,1,2017-06-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2306,6,2017,United Kingdom,6EpRaXYhGOB3fj4V2uDkMJ,29,Strip That Down,4,2017-06-01,"Liam Payne, Quavo",https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
2335,6,2017,United Kingdom,79cuOz3SPQTuFrp8WgftAu,28,There's Nothing Holdin' Me Back,5,2017-06-01,Shawn Mendes,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
2363,6,2017,United Kingdom,3DXncPQOG4VBw3QHh3S817,26,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2,2017-06-05,DJ Khaled,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
2389,6,2017,United States,2eMwDehkIC1j68U6FA3Eiq,29,XO TOUR Llif3,4,2017-06-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
2418,6,2017,United States,3a1lNhkSLSkpJE4MSHpDu9,29,Congratulations,5,2017-06-01,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
2447,6,2017,United States,5CtI0qwDJkDQGwXD1H1cLb,29,Despacito - Remix,2,2017-06-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2476,6,2017,United States,7KXjTSCq5nL1LoYtL7XAwS,29,HUMBLE.,1,2017-06-01,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2505,6,2017,United States,3kxfsdsCpFgN412fpnW85Y,27,Redbone,10,2017-06-04,Childish Gambino,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
2532,7,2017,Canada,1OAh8uOEOvTDqkKFsKksCi,31,Wild Thoughts (feat. Rihanna & Bryson Tiller),2,2017-07-01,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2563,7,2017,Canada,2eMwDehkIC1j68U6FA3Eiq,31,XO TOUR Llif3,6,2017-07-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
2594,7,2017,Canada,3DXncPQOG4VBw3QHh3S817,31,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3,2017-07-01,DJ Khaled,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
2625,7,2017,Canada,5CtI0qwDJkDQGwXD1H1cLb,31,Despacito - Remix,1,2017-07-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2656,7,2017,Canada,5bcTCxgc7xVfSaMV3RuVke,31,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",8,2017-07-01,"Calvin Harris, Funk Wav",https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
2687,7,2017,United Kingdom,1OAh8uOEOvTDqkKFsKksCi,31,Wild Thoughts (feat. Rihanna & Bryson Tiller),2,2017-07-01,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2718,7,2017,United Kingdom,3DXncPQOG4VBw3QHh3S817,31,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",5,2017-07-01,DJ Khaled,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
2749,7,2017,United Kingdom,5CtI0qwDJkDQGwXD1H1cLb,31,Despacito - Remix,1,2017-07-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2780,7,2017,United Kingdom,5bcTCxgc7xVfSaMV3RuVke,31,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",8,2017-07-01,"Calvin Harris, Funk Wav",https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
2811,7,2017,United Kingdom,6EpRaXYhGOB3fj4V2uDkMJ,30,Strip That Down,6,2017-07-01,"Liam Payne, Quavo",https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
2841,7,2017,United States,1OAh8uOEOvTDqkKFsKksCi,31,Wild Thoughts (feat. Rihanna & Bryson Tiller),3,2017-07-01,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
2872,7,2017,United States,2eMwDehkIC1j68U6FA3Eiq,31,XO TOUR Llif3,2,2017-07-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
2903,7,2017,United States,3DXncPQOG4VBw3QHh3S817,31,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",4,2017-07-01,DJ Khaled,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
2934,7,2017,United States,3a1lNhkSLSkpJE4MSHpDu9,31,Congratulations,7,2017-07-01,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
2965,7,2017,United States,5CtI0qwDJkDQGwXD1H1cLb,31,Despacito - Remix,1,2017-07-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2996,8,2017,Canada,2rb5MvYT7ZIxbKW5hfcHx8,31,Mi Gente,7,2017-08-01,"J Balvin, Willy William",https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3027,8,2017,Canada,3B54sVLJ402zGa6Xm4YGNe,31,Unforgettable,2,2017-08-01,"French Montana, Swae Lee",https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3058,8,2017,Canada,5bcTCxgc7xVfSaMV3RuVke,31,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",5,2017-08-01,"Calvin Harris, Funk Wav",https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
3089,8,2017,Canada,1OAh8uOEOvTDqkKFsKksCi,30,Wild Thoughts (feat. Rihanna & Bryson Tiller),3,2017-08-01,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
3119,8,2017,Canada,5CtI0qwDJkDQGwXD1H1cLb,28,Despacito - Remix,1,2017-08-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3147,8,2017,United Kingdom,1OAh8uOEOvTDqkKFsKksCi,31,Wild Thoughts (feat. Rihanna & Bryson Tiller),1,2017-08-01,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
3178,8,2017,United Kingdom,2ekn2ttSfGqwhhate0LSR0,31,New Rules,6,2017-08-01,Dua Lipa,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3209,8,2017,United Kingdom,3B54sVLJ402zGa6Xm4YGNe,31,Unforgettable,2,2017-08-01,"French Montana, Swae Lee",https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3240,8,2017,United Kingdom,5CtI0qwDJkDQGwXD1H1cLb,31,Despacito - Remix,3,2017-08-01,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
3271,8,2017,United Kingdom,5bcTCxgc7xVfSaMV3RuVke,31,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",4,2017-08-01,"Calvin Harris, Funk Wav",https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
3302,8,2017,United States,3B54sVLJ402zGa6Xm4YGNe,31,Unforgettable,1,2017-08-01,"French Montana, Swae Lee",https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3333,8,2017,United States,5eqK0tbzUPo2SoeZsov04s,31,Bank Account,5,2017-08-01,21 Savage,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
3364,8,2017,United States,7KXjTSCq5nL1LoYtL7XAwS,27,HUMBLE.,6,2017-08-01,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
3391,8,2017,United States,1OAh8uOEOvTDqkKFsKksCi,26,Wild Thoughts (feat. Rihanna & Bryson Tiller),3,2017-08-01,DJ Khaled,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
3417,8,2017,United States,2eMwDehkIC1j68U6FA3Eiq,24,XO TOUR Llif3,2,2017-08-01,Lil Uzi Vert,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
3441,9,2017,Canada,3B54sVLJ402zGa6Xm4YGNe,30,Unforgettable,2,2017-09-01,"French Montana, Swae Lee",https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3471,9,2017,Canada,0ofbQMrRDsUaVKq2mGLEAb,29,Havana,9,2017-09-01,"Camila Cabello, Young Thug",https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3500,9,2017,Canada,2rb5MvYT7ZIxbKW5hfcHx8,27,Mi Gente,4,2017-09-01,"J Balvin, Willy William",https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3527,9,2017,Canada,7vGuf3Y35N4wmASOKLUVVU,27,Silence,7,2017-09-01,"Marshmello, Khalid",https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
3554,9,2017,Canada,5tz69p7tJuGPeMGwNTxYuV,24,1-800-273-8255,10,2017-09-07,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
3578,9,2017,United Kingdom,2ekn2ttSfGqwhhate0LSR0,30,New Rules,1,2017-09-01,Dua Lipa,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3608,9,2017,United Kingdom,3B54sVLJ402zGa6Xm4YGNe,30,Unforgettable,3,2017-09-01,"French Montana, Swae Lee",https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
3638,9,2017,United Kingdom,0ofbQMrRDsUaVKq2mGLEAb,27,Havana,10,2017-09-03,"Camila Cabello, Young Thug",https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3665,9,2017,United Kingdom,7nZmah2llfvLDiUjm0kiyz,26,Friends (with BloodPop®),5,2017-09-01,Justin Bieber,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
3691,9,2017,United Kingdom,6uFsE1JgZ20EXyU0JQZbUR,25,Look What You Made Me Do,2,2017-09-01,Taylor Swift,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
3716,9,2017,United States,2771LMNxwf62FTAdpJMQfM,30,Bodak Yellow,5,2017-09-01,Cardi B,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
3746,9,2017,United States,5Z3GHaZ6ec9bsiI5BenrbY,30,Young Dumb & Broke,8,2017-09-01,Khalid,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
3776,9,2017,United States,5tz69p7tJuGPeMGwNTxYuV,30,1-800-273-8255,2,2017-09-01,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
3806,9,2017,United States,7GX5flRQZVHRAGd6B4TmDO,30,XO Tour Llif3,3,2017-09-01,Lil Uzi Vert,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
